,Date,Time,Global_active_power,trend,detrend
2073099,25/11/2010,09:03:00,1.294,0.7713672527991773,0.5226327472008228
2073100,25/11/2010,09:04:00,2.964,0.7717064261769626,2.1922935738230374
2073101,25/11/2010,09:05:00,2.958,0.772045599554748,2.1859544004452522
2073102,25/11/2010,09:06:00,2.958,0.7723847729325335,2.1856152270674665
2073103,25/11/2010,09:07:00,2.954,0.7727239463103189,2.181276053689681
2073104,25/11/2010,09:08:00,2.968,0.7730631196881043,2.1949368803118956
2073105,25/11/2010,09:09:00,2.89,0.7734022930658897,2.1165977069341104
2073106,25/11/2010,09:10:00,2.858,0.7737414664436751,2.084258533556325
2073107,25/11/2010,09:11:00,2.868,0.7740806398214606,2.093919360178539
2073108,25/11/2010,09:12:00,2.856,0.7744198131992459,2.081580186800754
2073109,25/11/2010,09:13:00,2.862,0.7747589865770313,2.0872410134229686
2073110,25/11/2010,09:14:00,2.868,0.7750981599548168,2.092901840045183
2073111,25/11/2010,09:15:00,2.866,0.7754373333326021,2.090562666667398
2073112,25/11/2010,09:16:00,2.842,0.7757765067103876,2.0662234932896126
2073113,25/11/2010,09:17:00,2.888,0.776115680088173,2.1118843199118267
2073114,25/11/2010,09:18:00,1.07,0.7764548534659584,0.2935451465340416
2073115,25/11/2010,09:19:00,0.826,0.7767940268437438,0.04920597315625619
2073116,25/11/2010,09:20:00,0.672,0.7771332002215292,-0.10513320022152917
2073117,25/11/2010,09:21:00,0.682,0.7774723735993146,-0.0954723735993146
2073118,25/11/2010,09:22:00,0.68,0.7778115469771,-0.09781154697709993
2073119,25/11/2010,09:23:00,0.662,0.7781507203548854,-0.11615072035488538
2073120,25/11/2010,09:24:00,0.666,0.7784898937326709,-0.11248989373267082
2073121,25/11/2010,09:25:00,0.672,0.7788290671104563,-0.10682906711045626
2073122,25/11/2010,09:26:00,0.674,0.7791682404882416,-0.10516824048824158
2073123,25/11/2010,09:27:00,0.67,0.7795074138660271,-0.10950741386602703
2073124,25/11/2010,09:28:00,0.668,0.7798465872438125,-0.11184658724381247
2073125,25/11/2010,09:29:00,0.67,0.780185760621598,-0.1101857606215979
2073126,25/11/2010,09:30:00,0.67,0.7805249339993833,-0.11052493399938323
2073127,25/11/2010,09:31:00,0.73,0.7808641073771687,-0.05086410737716873
2073128,25/11/2010,09:32:00,0.778,0.7812032807549542,-0.0032032807549541298
2073129,25/11/2010,09:33:00,0.766,0.7815424541327395,-0.01554245413273947
2073130,25/11/2010,09:34:00,0.854,0.7818816275105249,0.07211837248947506
2073131,25/11/2010,09:35:00,0.846,0.7822208008883104,0.06377919911168961
2073132,25/11/2010,09:36:00,0.856,0.7825599742660958,0.07344002573390418
2073133,25/11/2010,09:37:00,0.854,0.7828991476438811,0.07110085235611885
2073134,25/11/2010,09:38:00,0.846,0.7832383210216666,0.0627616789783334
2073135,25/11/2010,09:39:00,0.846,0.783577494399452,0.06242250560054796
2073136,25/11/2010,09:40:00,0.852,0.7839166677772373,0.06808333222276264
2073137,25/11/2010,09:41:00,0.854,0.7842558411550228,0.0697441588449772
2073138,25/11/2010,09:42:00,0.808,0.7845950145328082,0.02340498546719183
2073139,25/11/2010,09:43:00,0.774,0.7849341879105937,-0.01093418791059364
2073140,25/11/2010,09:44:00,0.766,0.785273361288379,-0.019273361288378976
2073141,25/11/2010,09:45:00,0.714,0.7856125346661644,-0.07161253466616446
2073142,25/11/2010,09:46:00,0.676,0.7859517080439499,-0.10995170804394983
2073143,25/11/2010,09:47:00,0.682,0.7862908814217353,-0.10429088142173526
2073144,25/11/2010,09:48:00,0.68,0.7866300547995206,-0.10663005479952059
2073145,25/11/2010,09:49:00,0.672,0.7869692281773061,-0.11496922817730604
2073146,25/11/2010,09:50:00,0.666,0.7873084015550915,-0.12130840155509148
2073147,25/11/2010,09:51:00,0.668,0.7876475749328768,-0.11964757493287681
2073148,25/11/2010,09:52:00,0.694,0.7879867483106623,-0.09398674831066234
2073149,25/11/2010,09:53:00,0.7,0.7883259216884477,-0.08832592168844777
2073150,25/11/2010,09:54:00,0.682,0.7886650950662332,-0.10666509506623312
2073151,25/11/2010,09:55:00,0.676,0.7890042684440185,-0.11300426844401845
2073152,25/11/2010,09:56:00,0.674,0.7893434418218039,-0.1153434418218039
2073153,25/11/2010,09:57:00,0.674,0.7896826151995894,-0.11568261519958933
2073154,25/11/2010,09:58:00,0.68,0.7900217885773748,-0.11002178857737477
2073155,25/11/2010,09:59:00,0.682,0.7903609619551601,-0.1083609619551601
2073156,25/11/2010,10:00:00,0.682,0.7907001353329456,-0.10870013533294554
2073157,25/11/2010,10:01:00,0.676,0.791039308710731,-0.11503930871073098
2073158,25/11/2010,10:02:00,0.674,0.7913784820885164,-0.11737848208851631
2073159,25/11/2010,10:03:00,0.674,0.7917176554663018,-0.11771765546630175
2073160,25/11/2010,10:04:00,0.68,0.7920568288440872,-0.11205682884408719
2073161,25/11/2010,10:05:00,0.682,0.7923960022218727,-0.11039600222187262
2073162,25/11/2010,10:06:00,0.682,0.792735175599658,-0.11073517559965795
2073163,25/11/2010,10:07:00,0.758,0.7930743489774434,-0.03507434897744344
2073164,25/11/2010,10:08:00,0.778,0.7934135223552289,-0.01541352235522886
2073165,25/11/2010,10:09:00,0.776,0.7937526957330142,-0.01775269573301419
2073166,25/11/2010,10:10:00,0.778,0.7940918691107997,-0.016091869110799628
2073167,25/11/2010,10:11:00,0.78,0.7944310424885851,-0.014431042488585066
2073168,25/11/2010,10:12:00,0.836,0.7947702158663705,0.04122978413362943
2073169,25/11/2010,10:13:00,0.856,0.7951093892441559,0.06089061075584412
2073170,25/11/2010,10:14:00,0.854,0.7954485626219413,0.05855143737805868
2073171,25/11/2010,10:15:00,0.854,0.7957877359997267,0.05821226400027324
2073172,25/11/2010,10:16:00,0.852,0.7961269093775121,0.05587309062248791
2073173,25/11/2010,10:17:00,0.852,0.7964660827552975,0.05553391724470247
2073174,25/11/2010,10:18:00,0.848,0.796805256133083,0.051194743866917025
2073175,25/11/2010,10:19:00,0.842,0.7971444295108684,0.04485557048913158
2073176,25/11/2010,10:20:00,0.84,0.7974836028886537,0.04251639711134625
2073177,25/11/2010,10:21:00,0.734,0.7978227762664392,-0.06382277626643917
2073178,25/11/2010,10:22:00,0.748,0.7981619496442246,-0.0501619496442246
2073179,25/11/2010,10:23:00,0.75,0.79850112302201,-0.04850112302201004
